Order Customer Id,total_orders,late_rate,avg_delay_gap,avg_order_value,avg_profit,unique_regegions,avg_discount,Cluster,Risk Tier,PCA1,PCA2
1,1,1.0,2.0,499.9500122,159.6900024,1,0.059999999,0,Critical Risk,-1.6741941317117468,1.6883117793307787
2,10,0.3,0.5,181.97300338600002,20.873999938100003,4,0.1260000006,2,High Risk,0.6209750363581676,-0.4944448669270619
3,18,0.0,-0.16666666666666666,196.53778298944445,18.58277773277778,4,0.10500000066666666,2,High Risk,1.2677399947896766,-1.4481946347313184
4,14,0.7857142857142857,0.5714285714285714,122.83071640499999,-31.427142285285715,4,0.13500000064285714,2,High Risk,1.0432606854086615,0.4482151261880389
5,7,0.7142857142857143,0.5714285714285714,182.10714612571428,44.264286042857144,3,0.140000002,0,Critical Risk,-0.004400913186499598,0.30614003713626176
6,15,0.6666666666666666,1.2,217.30066832400001,59.57666651133333,3,0.10666666746666667,2,High Risk,0.5899483542562981,0.6122949013671269
7,22,0.4090909090909091,0.09090909090909091,253.15818665636363,43.85863571704545,7,0.12318181854545456,2,High Risk,2.5627117473858236,-0.5305804631943064
8,19,0.21052631578947367,-0.2631578947368421,198.0789495736842,27.891052872,5,0.09263157857894737,2,High Risk,1.6903829359929596,-1.114274499015187
9,14,1.0,2.142857142857143,230.6914325392857,-27.41999989735714,4,0.09714285692857143,2,High Risk,0.8984745542469994,1.8034136417426043
10,8,0.5,0.5,158.0987515325,-18.902501105000002,2,0.084999999375,0,Critical Risk,-0.1996335539742439,-0.12825353807442055
11,12,0.4166666666666667,-0.5,202.47083664666664,24.576667055499996,2,0.118333335,1,Low Risk,0.05292920172220543,-0.8978002061864723
12,28,0.35714285714285715,0.03571428571428571,214.61964648214285,32.11071463875,6,0.07964285760714286,2,High Risk,2.7494639878819043,-0.6505312618809579
13,16,0.6875,1.375,199.101254346875,55.141249553499996,4,0.1106250010625,2,High Risk,1.0485283310722904,0.7624230361527432
14,13,0.38461538461538464,0.0,185.74769475692307,9.79076906853846,7,0.09769230661538461,2,High Risk,1.9330788145878814,-0.6315045286767825
15,3,0.0,0.0,79.99333572666667,23.15333239333333,1,0.080000001,1,Low Risk,-0.888728434953373,-1.3543233748960006
16,17,0.47058823529411764,-0.4117647058823529,138.22176630235293,41.70000014364706,5,0.08117647105882353,2,High Risk,1.5808421342481447,-0.7216596321153316
